"participantId";"current_time";"retake";"gender";"education";"multinational";"country0";"country1";"country2";"country3";"country4";"country5";"age";"programmingExperience";"pythonBefore";"pythonTutorBefore";"readUnderstandInstructions"
4348;"09:20:53";0;1;"college";1;"Indonesia";"Australia";"United States";"";"";"";19;"6m";1;"1-2";"read, understood"
4352;"09:20:53";0;0;"pre-high school";0;"Hungary";"";"";"";"";"";16;"none";0;"";""
4356;"09:20:53";0;0;"graduate school";0;"Germany";"";"";"";"";"";41;"more";1;"0";"read, understood"
4362;"09:20:53";1;1;"college";1;"Algeria";"";"";"";"";"";76;"3m";0;"3-5";"not read, understood"
4364;"09:20:53";0;1;"high school";0;"Algeria";"";"";"";"";"";24;"6m";0;"3-5";"not read, understood"
4365;"09:20:53";0;0;"graduate school";0;"Nigeria";"";"";"";"";"";40;"none";0;"0";"not read, not understood"
4370;"09:20:53";0;0;"graduate school";1;"Ukraine";"Poland";"";"";"";"";20;"3m";0;"3-5";"read, understood"
4372;"09:20:53";0;0;"high school";0;"Thailand";"";"";"";"";"";22;"3m";1;"";""
4377;"09:20:53";0;0;"college";1;"Italy";"";"";"";"";"";19;"3m";1;"";""
4379;"09:20:53";0;0;"graduate school";0;"Germany";"";"";"";"";"";25;"6m";1;"3-5";"read, understood"
4381;"09:20:53";0;0;"professional school";1;"Brazil";"United States";"";"";"";"";32;"1yr";1;"6+";"not read, understood"
4384;"09:20:53";0;0;"high school";1;"Italy";"Germany";"";"";"";"";31;"none";1;"6+";"not read, understood"
4403;"09:20:53";0;0;"college";0;"United Kingdom";"";"";"";"";"";34;"6m";1;"1-2";"read, understood"
4407;"09:20:53";1;0;"college";0;"United Kingdom";"";"";"";"";"";34;"6m";1;"1-2";"read, understood"
4416;"09:20:53";1;0;"college";0;"United Kingdom";"";"";"";"";"";34;"6m";1;"1-2";"read, understood"
4420;"09:20:53";0;0;"high school";0;"Pakistan";"";"";"";"";"";15;"3m";1;"1-2";"not read, understood"
4424;"09:20:53";0;1;"college";1;"Taiwan";"";"";"";"";"";54;"none";0;"";""
4427;"09:20:53";0;0;"college";1;"Republic of Moldova";"United States";"";"";"";"";25;"more";1;"3-5";"read, understood"
4436;"09:20:53";0;0;"graduate school";1;"India";"";"";"";"";"";35;"more";1;"0";"read, understood"
4442;"09:20:53";0;0;"pre-high school";0;"Afghanistan";"";"";"";"";"";23;"3m";1;"6+";"not read, not understood"
4451;"09:20:53";0;0;"high school";1;"Philippines";"";"";"";"";"";69;"more";1;"0";"read, understood"
4454;"09:20:53";0;0;"college";0;"China";"";"";"";"";"";27;"3m";1;"";""
4458;"09:20:53";0;0;"college";0;"China";"";"";"";"";"";19;"1yr";1;"3-5";"read, understood"
4470;"09:20:53";0;0;"graduate school";0;"Pakistan";"";"";"";"";"";18;"3m";0;"";""
4479;"09:20:53";0;0;"graduate school";0;"Netherlands";"";"";"";"";"";24;"1yr";0;"";""
4480;"09:20:53";0;0;"graduate school";0;"Netherlands";"";"";"";"";"";24;"1yr";0;"0";"read, understood"
4501;"09:20:53";0;0;"graduate school";0;"India";"";"";"";"";"";28;"6m";1;"6+";"read, understood"
4503;"09:20:53";0;0;"PhD";1;"Germany";"United Kingdom";"";"";"";"";30;"6m";1;"0";"read, not understood"
4506;"09:20:53";0;0;"professional school";0;"Belgium";"";"";"";"";"";19;"1yr";1;"6+";"read, understood"
4516;"09:20:53";0;0;"college";0;"United States";"";"";"";"";"";19;"none";1;"0";"read, understood"
4523;"09:20:53";0;1;"graduate school";1;"China";"United States";"";"";"";"";30;"6m";1;"1-2";"read, understood"
4524;"09:20:53";0;0;"graduate school";1;"India";"";"";"";"";"";30;"3m";0;"0";"read, understood"
4540;"09:20:53";0;0;"pre-high school";0;"Hong Kong";"";"";"";"";"";15;"6m";1;"1-2";"read, understood"
4546;"09:20:53";0;0;"graduate school";1;"United States";"United Kingdom";"United States";"";"";"";47;"more";1;"0";"read, understood"
4548;"09:20:53";0;0;"graduate school";0;"Canada";"";"";"";"";"";23;"6m";1;"1-2";"read, understood"
4550;"09:20:53";0;0;"college";0;"United States";"";"";"";"";"";32;"6m";1;"3-5";"read, understood"
4554;"09:20:53";0;0;"PhD";0;"Brazil";"";"";"";"";"";66;"3m";1;"";""
4560;"09:20:53";0;0;"college";0;"United States";"";"";"";"";"";19;"more";1;"6+";"not read, understood"
4562;"09:20:53";1;0;"college";0;"United States";"";"";"";"";"";19;"more";1;"6+";"not read, understood"
4565;"09:20:53";0;0;"high school";1;"United States";"";"";"";"";"";15;"6m";1;"1-2";"read, understood"
4586;"09:20:53";0;0;"college";0;"China";"";"";"";"";"";27;"3m";1;"";""
4587;"09:20:53";0;0;"professional school";1;"India";"";"";"";"";"";27;"6m";1;"0";"read, understood"
4590;"09:20:53";0;0;"college";0;"Brazil";"";"";"";"";"";18;"none";1;"";""
4598;"09:20:53";0;0;"high school";1;"China";"";"";"";"";"";19;"none";0;"0";"read, understood"
4608;"09:20:53";0;0;"graduate school";0;"India";"";"";"";"";"";28;"more";1;"0";"read, understood"
4614;"09:20:53";0;0;"professional school";0;"India";"";"";"";"";"";30;"more";1;"";""
4621;"09:20:53";0;0;"college";1;"Netherlands";"Germany";"";"";"";"";20;"6m";1;"6+";"not read, understood"
4623;"09:20:53";1;0;"college";0;"Ukraine";"";"";"";"";"";28;"3m";1;"6+";"not read, not understood"
4627;"09:20:53";0;0;"graduate school";0;"China";"";"";"";"";"";29;"more";0;"0";"read, understood"
4628;"09:20:53";0;0;"high school";0;"Estonia";"";"";"";"";"";17;"1yr";1;"6+";"read, understood"
4642;"09:20:53";0;0;"professional school";0;"Russian Federation";"";"";"";"";"";23;"3m";0;"";""
4647;"09:20:53";0;0;"college";0;"United Kingdom";"";"";"";"";"";20;"1yr";1;"0";"read, understood"
4649;"09:20:53";0;0;"graduate school";1;"Iraq";"";"";"";"";"";41;"3m";0;"1-2";"read, understood"
4659;"09:20:53";0;1;"PhD";0;"Canada";"";"";"";"";"";30;"more";1;"3-5";"read, understood"
4669;"09:20:53";0;1;"college";0;"Turkey";"";"";"";"";"";24;"6m";1;"6+";"read, understood"
4673;"09:20:53";0;1;"graduate school";0;"Brazil";"";"";"";"";"";37;"none";0;"1-2";"read, understood"
4682;"09:20:53";0;0;"graduate school";1;"India";"";"";"";"";"";24;"3m";1;"3-5";"read, understood"
4684;"09:20:53";0;0;"college";0;"India";"";"";"";"";"";24;"3m";1;"3-5";"not read, understood"
4685;"09:20:53";0;0;"college";0;"Aland Islands";"";"";"";"";"";13;"6m";0;"1-2";"read, understood"
4689;"09:20:53";0;1;"college";0;"United States";"";"";"";"";"";19;"6m";1;"3-5";"read, understood"
4690;"09:20:53";0;0;"college";0;"India";"";"";"";"";"";18;"none";0;"";""
4695;"09:20:53";0;0;"college";1;"United States";"Afghanistan";"";"";"";"";31;"3m";1;"3-5";"read, understood"
4697;"09:20:53";0;0;"college";1;"Egypt";"United Arab Emirates";"";"";"";"";29;"more";0;"6+";"read, understood"
4699;"09:20:53";0;0;"graduate school";0;"Brazil";"";"";"";"";"";38;"more";0;"0";"read, understood"
4702;"09:20:53";0;0;"high school";0;"United States";"";"";"";"";"";14;"none";1;"1-2";"read, understood"
4706;"09:20:53";0;0;"college";0;"Mexico";"";"";"";"";"";19;"more";1;"6+";"read, understood"
4709;"09:20:53";0;0;"college";0;"Canada";"";"";"";"";"";19;"3m";0;"6+";"not read, understood"
4715;"09:20:53";0;1;"graduate school";1;"The Democratic Republic Of The Congo";"Canada";"Cambodia";"Canada";"";"";33;"more";1;"1-2";"read, understood"
4729;"09:20:53";0;1;"graduate school";1;"Brazil";"Denmark";"Australia";"";"";"";29;"none";0;"1-2";"read, understood"
4730;"09:20:53";0;0;"graduate school";0;"United States";"";"";"";"";"";24;"1yr";1;"6+";"read, understood"
4732;"09:20:53";0;0;"high school";1;"Argentina";"";"";"";"";"";99;"none";0;"0";"read, understood"
4733;"09:20:53";0;0;"high school";0;"Angola";"";"";"";"";"";33;"none";0;"";""
4740;"09:20:53";0;0;"college";0;"United States";"";"";"";"";"";18;"none";0;"6+";"read, understood"
4741;"09:20:53";0;0;"college";0;"United States";"";"";"";"";"";20;"more";1;"6+";"read, understood"
4751;"09:20:53";0;0;"college";0;"Canada";"";"";"";"";"";20;"3m";1;"3-5";"read, understood"
4754;"09:20:53";0;0;"college";1;"Pakistan";"Canada";"";"";"";"";33;"6m";1;"1-2";"read, not understood"
4755;"09:20:53";0;0;"college";0;"Australia";"";"";"";"";"";33;"6m";1;"1-2";"read, not understood"
4774;"09:20:53";0;0;"college";0;"China";"";"";"";"";"";24;"6m";1;"1-2";"read, understood"
4777;"09:20:53";0;0;"college";0;"India";"";"";"";"";"";25;"1yr";1;"6+";"read, understood"
4790;"09:20:53";0;0;"graduate school";0;"India";"";"";"";"";"";27;"none";0;"6+";"read, understood"
4807;"09:20:53";0;0;"professional school";1;"Ukraine";"";"";"";"";"";51;"6m";0;"6+";"read, understood"
4825;"09:20:53";0;0;"graduate school";1;"United Kingdom";"Taiwan";"";"";"";"";27;"6m";1;"0";"read, understood"
4838;"09:20:53";0;0;"college";1;"China";"";"";"";"";"";23;"6m";1;"";""
4839;"09:20:53";0;0;"high school";0;"United States";"";"";"";"";"";24;"3m";1;"1-2";"read, understood"
4844;"09:20:53";0;0;"college";0;"Germany";"";"";"";"";"";25;"1yr";1;"1-2";"read, understood"
4847;"09:20:53";0;0;"college";1;"Norway";"Japan";"";"";"";"";34;"3m";1;"6+";"read, understood"
4850;"09:20:53";0;0;"college";0;"United States";"";"";"";"";"";23;"1yr";1;"1-2";"read, understood"
4852;"09:20:53";0;0;"professional school";0;"India";"";"";"";"";"";35;"1yr";1;"";""
4855;"09:20:53";0;0;"graduate school";1;"Brazil";"";"";"";"";"";27;"6m";1;"0";"read, not understood"
4860;"09:20:53";1;0;"college";0;"Germany";"";"";"";"";"";25;"1yr";1;"1-2";"read, understood"
4862;"09:20:53";0;0;"college";0;"United States";"";"";"";"";"";14;"none";1;"";""
4863;"09:20:53";0;1;"graduate school";0;"Brazil";"";"";"";"";"";17;"none";0;"";""
4872;"09:20:53";0;0;"college";0;"Brazil";"";"";"";"";"";22;"6m";1;"";""
4874;"09:20:53";0;1;"graduate school";1;"China";"Japan";"";"";"";"";25;"3m";1;"6+";"read, understood"
4881;"09:20:53";1;0;"PhD";0;"Aland Islands";"";"";"";"";"";80;"none";1;"6+";"read, not understood"
4885;"09:20:53";0;0;"high school";0;"Mexico";"";"";"";"";"";18;"1yr";0;"";""
4889;"09:20:53";0;0;"high school";0;"Singapore";"";"";"";"";"";15;"1yr";1;"";""
4897;"09:20:53";0;0;"graduate school";1;"India";"United States";"";"";"";"";30;"more";1;"1-2";"read, understood"
4904;"09:20:53";0;0;"high school";0;"China";"";"";"";"";"";40;"3m";1;"";""
4908;"09:20:53";0;1;"college";1;"China";"";"";"";"";"";27;"3m";1;"0";"read, understood"
4909;"09:20:53";0;0;"PhD";0;"Russian Federation";"";"";"";"";"";31;"3m";0;"3-5";"read, understood"
4913;"09:20:53";0;0;"graduate school";0;"Antarctica";"";"";"";"";"";21;"3m";0;"";""
4914;"09:20:53";0;0;"graduate school";0;"India";"";"";"";"";"";27;"none";0;"6+";"read, understood"
4915;"09:20:53";0;0;"graduate school";0;"India";"";"";"";"";"";27;"none";0;"6+";"read, understood"
4925;"09:20:53";0;0;"college";0;"United States";"";"";"";"";"";23;"more";1;"6+";"read, understood"
4935;"09:20:53";0;0;"college";0;"India";"";"";"";"";"";24;"1yr";1;"3-5";"read, understood"
4936;"09:20:53";0;0;"college";1;"Ukraine";"Netherlands";"United States";"";"";"";24;"1yr";0;"6+";"read, understood"
4951;"09:20:53";0;0;"graduate school";0;"India";"";"";"";"";"";24;"more";1;"";""
4962;"09:20:53";1;0;"college";1;"Norway";"Japan";"";"";"";"";34;"3m";1;"6+";"not read, understood"
4963;"09:20:53";0;1;"professional school";0;"Peru";"";"";"";"";"";23;"none";0;"0";"read, understood"
4968;"09:20:53";0;0;"graduate school";1;"South Africa";"";"";"";"";"";48;"1yr";1;"";""
5004;"09:20:53";0;0;"PhD";0;"United States";"";"";"";"";"";36;"more";1;"0";"not read, not understood"
5005;"09:20:53";0;0;"college";0;"United States";"";"";"";"";"";49;"1yr";1;"";""
5007;"09:20:53";0;0;"graduate school";0;"Canada";"";"";"";"";"";30;"3m";1;"6+";"read, understood"
5017;"09:20:53";0;0;"PhD";0;"United States";"";"";"";"";"";27;"more";1;"6+";"not read, understood"
5018;"09:20:53";0;0;"graduate school";1;"Australia";"Nepal";"";"";"";"";17;"6m";1;"1-2";"read, understood"
5021;"09:20:53";0;0;"college";1;"Canada";"";"";"";"";"";20;"6m";1;"3-5";"read, understood"
5027;"09:20:53";0;0;"high school";0;"United States";"";"";"";"";"";15;"3m";1;"1-2";"not read, understood"
5036;"09:20:53";0;0;"professional school";1;"Sweden";"Australia";"";"";"";"";64;"1yr";0;"0";"read, understood"
5039;"09:20:53";0;1;"college";1;"Panama";"United States";"";"";"";"";29;"6m";1;"6+";"read, understood"
5042;"09:20:53";0;0;"college";0;"Australia";"";"";"";"";"";21;"3m";1;"1-2";"read, understood"
5043;"09:20:53";0;0;"graduate school";0;"United States";"";"";"";"";"";48;"more";1;"1-2";"read, understood"
5048;"09:20:53";0;1;"college";1;"Nigeria";"United States";"";"";"";"";31;"1yr";1;"3-5";"read, understood"
5051;"09:20:53";0;0;"college";0;"Thailand";"";"";"";"";"";18;"none";0;"";""
5056;"09:20:53";0;0;"graduate school";0;"India";"";"";"";"";"";20;"3m";0;"";""
5062;"09:20:53";0;0;"high school";0;"Turkey";"";"";"";"";"";28;"none";0;"0";"read, understood"
5065;"09:20:53";0;0;"graduate school";1;"Viet Nam";"Switzerland";"";"";"";"";27;"6m";1;"6+";"read, understood"
5085;"09:20:53";0;1;"college";0;"United States";"";"";"";"";"";28;"6m";1;"6+";"read, understood"
5090;"09:20:53";0;1;"college";0;"Russian Federation";"";"";"";"";"";28;"1yr";1;"1-2";"read, understood"
5092;"09:20:53";0;0;"college";0;"India";"";"";"";"";"";19;"1yr";1;"6+";"read, understood"
5095;"09:20:53";0;0;"high school";0;"Belgium";"";"";"";"";"";23;"1yr";1;"6+";"read, understood"
5104;"09:20:53";0;0;"graduate school";1;"Cote Divoire";"United States";"France";"";"";"";25;"6m";1;"6+";"read, understood"
5106;"09:20:53";0;0;"college";1;"Russian Federation";"United States";"";"";"";"";24;"3m";1;"6+";"read, understood"
5110;"09:20:53";0;0;"high school";0;"Uzbekistan";"";"";"";"";"";22;"none";0;"";""
5113;"09:20:53";0;0;"college";0;"United States";"";"";"";"";"";20;"3m";1;"6+";"read, understood"
5116;"09:20:53";0;0;"graduate school";0;"United States";"";"";"";"";"";19;"6m";1;"6+";"not read, understood"
5118;"09:20:53";0;0;"high school";0;"United States";"";"";"";"";"";20;"none";1;"6+";"read, understood"
5125;"09:20:53";0;0;"graduate school";1;"India";"France";"";"";"";"";25;"none";0;"";""
5136;"09:20:53";0;0;"high school";1;"United States";"India";"United States";"";"";"";17;"more";1;"6+";"not read, understood"
5138;"09:20:53";0;0;"graduate school";0;"Brazil";"";"";"";"";"";21;"1yr";1;"";""
5141;"09:20:53";0;1;"college";0;"United States";"";"";"";"";"";33;"3m";1;"1-2";"read, understood"
5145;"09:20:53";0;0;"graduate school";0;"United States";"";"";"";"";"";39;"more";1;"0";"read, understood"
5147;"09:20:53";0;0;"college";0;"India";"";"";"";"";"";20;"none";0;"0";"read, understood"
5150;"09:20:53";0;2;"college";0;"India";"";"";"";"";"";21;"more";1;"0";"not read, understood"
5152;"09:20:53";0;2;"college";0;"India";"";"";"";"";"";21;"more";1;"0";"not read, understood"
5154;"09:20:53";0;0;"graduate school";0;"India";"";"";"";"";"";25;"6m";1;"";""
5157;"09:20:53";0;0;"high school";0;"New Zealand";"";"";"";"";"";17;"none";0;"1-2";"read, understood"
5167;"09:20:53";0;0;"college";0;"India";"";"";"";"";"";18;"none";1;"";""
5170;"09:20:53";0;0;"graduate school";1;"Kenya";"United States";"Kenya";"";"";"";35;"more";1;"6+";"read, understood"
5178;"09:20:53";1;0;"graduate school";0;"Singapore";"";"";"";"";"";22;"3m";1;"";""
5222;"09:20:53";0;0;"college";0;"Brazil";"";"";"";"";"";19;"1yr";1;"";""
5230;"09:20:53";0;0;"PhD";0;"China";"";"";"";"";"";19;"6m";1;"";""
5236;"09:20:53";0;0;"high school";0;"Afghanistan";"";"";"";"";"";18;"none";1;"0";"read, understood"
5246;"09:20:53";0;0;"graduate school";0;"India";"";"";"";"";"";27;"1yr";0;"6+";"read, understood"
5263;"09:20:53";0;0;"college";0;"Thailand";"";"";"";"";"";18;"3m";0;"";""
5272;"09:20:53";0;1;"high school";0;"Albania";"";"";"";"";"";18;"6m";1;"1-2";"read, understood"
5273;"09:20:53";0;0;"college";1;"Albania";"";"";"";"";"";16;"6m";1;"1-2";"not read, not understood"
5278;"09:20:53";0;0;"pre-high school";0;"China";"";"";"";"";"";9;"more";1;"6+";"read, understood"
5292;"09:20:53";0;0;"college";1;"Taiwan";"";"";"";"";"";30;"none";0;"";""
5297;"09:20:53";0;0;"graduate school";1;"India";"France";"Italy";"Germany";"";"";27;"3m";1;"3-5";"read, understood"
5310;"09:20:53";0;0;"graduate school";0;"India";"";"";"";"";"";20;"3m";0;"";""
5320;"09:20:53";0;0;"college";0;"Brazil";"";"";"";"";"";18;"none";0;"0";"read, not understood"
5325;"09:20:53";0;0;"PhD";1;"Taiwan";"United States";"";"";"";"";48;"more";0;"";""
5329;"09:20:53";0;0;"high school";0;"Puerto Rico";"";"";"";"";"";23;"3m";1;"";""
5345;"09:20:53";0;0;"graduate school";0;"China";"";"";"";"";"";25;"more";1;"";""
5348;"09:20:53";0;0;"high school";0;"Taiwan";"";"";"";"";"";17;"1yr";1;"";""
5349;"09:20:53";0;0;"high school";0;"United States";"";"";"";"";"";31;"none";0;"0";"read, understood"
5350;"09:20:53";0;1;"graduate school";0;"India";"";"";"";"";"";22;"1yr";0;"";""
5351;"09:20:53";0;0;"PhD";1;"India";"United States";"";"";"";"";33;"more";0;"6+";"read, understood"
5362;"09:20:53";0;0;"professional school";0;"China";"";"";"";"";"";23;"6m";1;"0";"read, understood"
5363;"09:20:53";0;0;"pre-high school";0;"Albania";"";"";"";"";"";22;"3m";0;"0";"read, understood"
5365;"09:20:53";0;1;"pre-high school";0;"Russian Federation";"";"";"";"";"";17;"none";0;"";""
5366;"09:20:53";0;0;"graduate school";0;"China";"";"";"";"";"";28;"more";1;"6+";"read, understood"
5369;"09:20:53";0;0;"graduate school";0;"India";"";"";"";"";"";26;"1yr";0;"0";"read, understood"
5370;"09:20:53";0;1;"college";0;"Russian Federation";"";"";"";"";"";30;"none";0;"1-2";"read, understood"
5382;"09:20:53";0;2;"PhD";0;"United States";"";"";"";"";"";17;"none";0;"0";"read, understood"
5385;"09:20:53";0;0;"pre-high school";0;"China";"";"";"";"";"";12;"3m";0;"";""
5388;"09:20:53";0;0;"PhD";1;"Romania";"Italy";"Spain";"";"";"";36;"6m";0;"1-2";"read, understood"
5398;"09:20:53";0;0;"high school";0;"Egypt";"";"";"";"";"";15;"more";1;"6+";"read, understood"
5400;"09:20:53";0;0;"college";0;"Romania";"";"";"";"";"";49;"none";0;"0";"read, understood"
5402;"09:20:53";1;0;"graduate school";0;"China";"";"";"";"";"";35;"1yr";0;"";""
5404;"09:20:53";0;0;"high school";0;"Egypt";"";"";"";"";"";15;"more";1;"6+";"read, understood"
5405;"09:20:53";0;0;"high school";0;"Egypt";"";"";"";"";"";15;"more";1;"6+";"read, understood"
5406;"09:20:53";0;0;"college";0;"Romania";"";"";"";"";"";49;"none";0;"";""
5408;"09:20:53";0;0;"high school";0;"Egypt";"";"";"";"";"";15;"more";1;"6+";"read, understood"
5413;"09:20:53";0;1;"high school";0;"Sri Lanka";"";"";"";"";"";18;"6m";1;"6+";"read, understood"
5414;"09:20:53";0;0;"graduate school";0;"Panama";"";"";"";"";"";32;"none";0;"";""
5425;"09:20:53";0;0;"college";1;"China";"United States";"";"";"";"";29;"more";1;"";""
5445;"09:20:53";0;0;"PhD";0;"Belgium";"";"";"";"";"";42;"1yr";1;"6+";"not read, understood"
5455;"09:20:53";0;0;"college";0;"United Kingdom";"";"";"";"";"";26;"none";0;"0";"read, understood"
5457;"09:20:53";0;0;"graduate school";0;"Peru";"";"";"";"";"";35;"6m";0;"";""
5467;"09:20:53";0;0;"graduate school";0;"Brazil";"";"";"";"";"";30;"6m";0;"3-5";"read, understood"
5474;"09:20:53";0;0;"high school";0;"United States";"";"";"";"";"";18;"3m";1;"6+";"read, understood"
5475;"09:20:53";0;0;"college";0;"China";"";"";"";"";"";40;"more";1;"3-5";"read, understood"
5476;"09:20:53";0;0;"college";0;"Australia";"";"";"";"";"";23;"more";1;"1-2";"read, understood"
5478;"09:20:53";0;0;"high school";0;"Kenya";"";"";"";"";"";16;"none";0;"0";"read, understood"
5482;"09:20:53";0;0;"graduate school";0;"United States";"";"";"";"";"";51;"1yr";0;"0";"read, understood"
5491;"09:20:53";0;0;"college";1;"United States";"United Kingdom";"United States";"";"";"";33;"more";1;"1-2";"read, understood"
5495;"09:20:53";0;0;"professional school";0;"Poland";"";"";"";"";"";43;"more";1;"";""
5498;"09:20:53";0;0;"professional school";0;"Poland";"";"";"";"";"";43;"more";1;"6+";"read, understood"
5500;"09:20:53";0;0;"graduate school";0;"Bangladesh";"";"";"";"";"";26;"3m";1;"3-5";"read, understood"
5501;"09:20:53";0;0;"professional school";1;"India";"Australia";"";"";"";"";61;"1yr";1;"3-5";"read, understood"
5507;"09:20:53";0;1;"college";0;"United States";"";"";"";"";"";31;"3m";1;"";""
5513;"09:20:53";0;0;"college";1;"India";"Singapore";"";"";"";"";37;"more";0;"6+";"read, understood"
5515;"09:20:53";0;0;"professional school";0;"Russian Federation";"";"";"";"";"";30;"none";0;"1-2";"read, understood"
5516;"09:20:53";0;0;"college";0;"Singapore";"";"";"";"";"";24;"1yr";1;"6+";"read, understood"
5520;"09:20:53";0;0;"high school";0;"Uruguay";"";"";"";"";"";19;"none";1;"";""
5526;"09:20:53";0;0;"graduate school";1;"Romania";"United Arab Emirates";"United Kingdom";"";"";"";28;"more";1;"";""
5528;"09:20:53";0;0;"college";0;"China";"";"";"";"";"";20;"none";0;"";""
5529;"09:20:53";0;2;"high school";0;"United Kingdom";"";"";"";"";"";17;"more";1;"0";"read, understood"
5535;"09:20:53";0;0;"college";1;"United States";"";"";"";"";"";34;"none";0;"";""
5545;"09:20:53";0;0;"college";0;"Taiwan";"";"";"";"";"";31;"none";0;"";""
5550;"09:20:53";0;0;"high school";0;"Belgium";"";"";"";"";"";70;"1yr";1;"";""
5553;"09:20:53";0;0;"college";0;"India";"";"";"";"";"";18;"1yr";1;"6+";"read, understood"
5563;"09:20:53";0;1;"college";0;"United States";"";"";"";"";"";20;"none";0;"0";"read, not understood"
5580;"09:20:53";0;0;"graduate school";1;"China";"United States";"";"";"";"";27;"more";0;"1-2";"read, understood"
5598;"09:20:53";0;0;"college";0;"Tunisia";"";"";"";"";"";20;"3m";1;"1-2";"read, understood"
5600;"09:20:53";0;0;"professional school";1;"United States";"Honduras";"";"";"";"";16;"6m";1;"0";"read, understood"
5603;"09:20:53";0;0;"graduate school";0;"United States";"";"";"";"";"";32;"more";1;"0";"read, understood"
5609;"09:20:53";0;0;"postdoctoral";0;"United States";"";"";"";"";"";31;"more";1;"0";"read, understood"
5620;"09:20:53";1;0;"graduate school";0;"France";"";"";"";"";"";19;"none";0;"6+";"read, understood"
5621;"09:20:53";0;0;"college";1;"China";"";"";"";"";"";30;"3m";1;"0";"read, understood"
5629;"09:20:53";0;0;"high school";0;"United States";"";"";"";"";"";17;"1yr";1;"6+";"not read, understood"
5634;"09:20:53";0;0;"high school";0;"Russian Federation";"";"";"";"";"";21;"6m";1;"6+";"not read, understood"
5637;"09:20:53";0;0;"graduate school";0;"India";"";"";"";"";"";21;"3m";0;"";""
5640;"09:20:53";0;0;"graduate school";1;"United Kingdom";"";"";"";"";"";28;"1yr";1;"";""
5644;"09:20:53";0;0;"graduate school";0;"China";"";"";"";"";"";28;"none";1;"";""
5645;"09:20:53";0;1;"college";0;"Serbia";"";"";"";"";"";23;"more";0;"1-2";"read, understood"
5651;"09:20:53";1;0;"college";0;"India";"";"";"";"";"";21;"none";1;"";""
5654;"09:20:53";0;0;"graduate school";1;"United Kingdom";"Spain";"United Kingdom";"";"";"";28;"1yr";1;"1-2";"read, not understood"
5680;"09:20:53";0;0;"professional school";0;"Russian Federation";"";"";"";"";"";32;"1yr";1;"3-5";"not read, understood"
5681;"09:20:53";0;0;"professional school";0;"Poland";"";"";"";"";"";24;"more";1;"";""
5684;"09:20:53";0;0;"graduate school";0;"Brazil";"";"";"";"";"";44;"more";0;"";""
5686;"09:20:53";0;0;"pre-high school";0;"Russian Federation";"";"";"";"";"";15;"3m";1;"";""
5690;"09:20:53";0;0;"graduate school";1;"Bosnia And Herzegovina";"Sweden";"Germany";"";"";"";48;"more";0;"3-5";"not read, understood"
5692;"09:20:53";0;0;"college";0;"China";"";"";"";"";"";34;"6m";1;"1-2";"read, understood"
5697;"09:20:53";0;0;"college";1;"United States";"";"";"";"";"";20;"3m";1;"6+";"read, understood"
5698;"09:20:53";0;0;"college";0;"Brazil";"";"";"";"";"";24;"1yr";1;"3-5";"read, understood"
5713;"09:20:53";0;0;"college";0;"United Kingdom";"";"";"";"";"";18;"more";1;"1-2";"read, understood"
5714;"09:20:53";0;0;"graduate school";0;"Norway";"";"";"";"";"";40;"more";1;"0";"not read, not understood"
5717;"09:20:53";0;0;"college";0;"India";"";"";"";"";"";37;"3m";1;"0";"read, understood"
5724;"09:20:53";1;0;"graduate school";0;"France";"";"";"";"";"";17;"none";0;"";""
5725;"09:20:53";0;0;"college";0;"Thailand";"";"";"";"";"";19;"3m";1;"6+";"read, understood"
5732;"09:20:53";0;0;"high school";0;"Russian Federation";"";"";"";"";"";18;"none";1;"1-2";"read, understood"
5742;"09:20:53";0;0;"college";1;"China";"";"";"";"";"";24;"3m";1;"1-2";"read, understood"
5744;"09:20:53";0;0;"PhD";1;"Colombia";"";"";"";"";"";17;"3m";1;"1-2";"read, understood"
5748;"09:20:53";0;0;"college";0;"United States";"";"";"";"";"";21;"3m";0;"1-2";"read, understood"
5759;"09:20:53";0;0;"high school";0;"Australia";"";"";"";"";"";65;"none";0;"0";"read, understood"
5761;"09:20:53";0;0;"graduate school";0;"Canada";"";"";"";"";"";15;"1yr";1;"6+";"read, understood"
5766;"09:20:53";0;0;"PhD";1;"United States";"Hong Kong";"United States";"";"";"";16;"1yr";1;"3-5";"read, understood"
5767;"09:20:53";0;0;"college";0;"India";"";"";"";"";"";21;"1yr";1;"6+";"read, understood"
5769;"09:20:53";0;0;"graduate school";1;"China";"";"";"";"";"";18;"6m";1;"";""
5770;"09:20:53";0;0;"college";0;"India";"";"";"";"";"";23;"6m";1;"0";"read, understood"
5773;"09:20:53";0;0;"college";0;"India";"";"";"";"";"";21;"1yr";0;"0";"read, understood"
5774;"09:20:53";0;0;"college";0;"India";"";"";"";"";"";21;"1yr";0;"0";"read, understood"
5780;"09:20:53";0;1;"professional school";0;"India";"";"";"";"";"";28;"1yr";0;"0";"read, understood"
5783;"09:20:53";0;0;"college";0;"India";"";"";"";"";"";23;"6m";1;"0";"read, understood"
5792;"09:20:53";0;0;"college";1;"China";"";"";"";"";"";20;"none";0;"0";"read, understood"
5793;"09:20:53";0;1;"graduate school";1;"United States";"Australia";"";"";"";"";60;"more";0;"0";"read, understood"
5800;"09:20:53";0;0;"professional school";0;"Germany";"";"";"";"";"";32;"more";1;"0";"read, understood"
